ID,rank,discipline,yrs.since.phd,yrs.service,sex,salary,sex
71,Prof,B,17,2,1,126320,1
72,Prof,B,45,45,1,146856,1
73,Prof,B,29,19,1,100131,1
74,Prof,B,35,34,1,92391,1
75,Prof,B,28,23,1,113398,1
76,AsstProf,B,8,3,1,73266,1
77,Prof,B,17,3,1,150480,1
78,Prof,B,26,19,1,193000,1
79,AsstProf,B,3,1,1,86100,1
80,AsstProf,B,6,2,1,84240,1
81,Prof,B,43,28,1,150743,1
82,Prof,B,17,16,1,135585,1
83,Prof,B,22,20,1,144640,1
84,AsstProf,B,6,2,1,88825,1
85,Prof,B,17,18,2,122960,2
86,Prof,B,15,14,1,132825,1
87,Prof,B,37,37,1,152708,1
88,AsstProf,B,2,2,1,88400,1
89,Prof,B,25,25,1,172272,1
90,AssocProf,B,9,7,1,107008,1
91,AsstProf,B,10,5,2,97032,2
92,AssocProf,B,10,7,1,105128,1
93,AssocProf,B,10,7,1,105631,1
94,Prof,B,38,38,1,166024,1
95,Prof,B,21,20,1,123683,1
96,AsstProf,B,4,0,1,84000,1
97,AssocProf,B,17,12,1,95611,1
98,Prof,B,13,7,1,129676,1
99,Prof,B,30,14,1,102235,1
100,Prof,B,41,26,1,106689,1
101,Prof,B,42,25,1,133217,1
102,Prof,B,28,23,1,126933,1
103,Prof,B,16,5,1,153303,1
104,Prof,B,20,14,2,127512,2
105,AssocProf,A,18,10,1,83850,1
106,Prof,A,31,28,1,113543,1
107,AssocProf,A,11,8,1,82099,1
108,AssocProf,A,10,8,1,82600,1
109,AssocProf,A,15,8,1,81500,1
110,Prof,A,40,31,1,131205,1
111,Prof,A,20,16,1,112429,1
112,AssocProf,A,19,16,1,82100,1
113,AsstProf,A,3,1,1,72500,1
114,Prof,A,37,37,1,104279,1
115,Prof,A,12,0,2,105000,2
116,Prof,A,21,9,1,120806,1
117,Prof,A,30,29,1,148500,1
118,Prof,A,39,36,1,117515,1
119,AsstProf,A,4,1,1,72500,1
120,AsstProf,A,5,3,2,73500,2
121,Prof,A,14,14,1,115313,1
122,Prof,A,32,32,1,124309,1
123,Prof,A,24,22,1,97262,1
124,AssocProf,A,25,22,2,62884,2
125,Prof,A,24,22,1,96614,1
126,Prof,A,54,49,1,78162,1
127,Prof,A,28,26,1,155500,1
128,AsstProf,A,2,0,2,72500,2
129,Prof,A,32,30,1,113278,1
130,AsstProf,A,4,2,1,73000,1
131,AssocProf,A,11,9,1,83001,1
132,Prof,A,56,57,1,76840,1
133,AssocProf,A,10,8,2,77500,2
134,AsstProf,A,3,1,2,72500,2
135,Prof,A,35,25,1,168635,1
136,Prof,A,20,18,1,136000,1
137,Prof,A,16,14,1,108262,1
138,Prof,A,17,14,1,105668,1
139,AssocProf,A,10,7,1,73877,1
140,Prof,A,21,18,1,152664,1
141,AssocProf,A,14,8,1,100102,1
142,AssocProf,A,15,10,1,81500,1
143,Prof,A,19,11,1,106608,1
144,AsstProf,B,3,3,1,89942,1
145,Prof,B,27,27,1,112696,1
146,Prof,B,28,28,1,119015,1
147,AsstProf,B,4,4,1,92000,1
148,Prof,B,27,27,1,156938,1
149,Prof,B,36,26,2,144651,2
150,AsstProf,B,4,3,1,95079,1
151,Prof,B,14,12,1,128148,1
152,AsstProf,B,4,4,1,92000,1
153,Prof,B,21,9,1,111168,1
154,AssocProf,B,12,10,2,103994,2
155,AsstProf,B,4,0,1,92000,1
156,Prof,B,21,21,1,118971,1
157,AssocProf,B,12,18,1,113341,1
158,AsstProf,B,1,0,1,88000,1
159,AssocProf,B,6,6,1,95408,1
160,Prof,B,15,16,1,137167,1
161,AsstProf,B,2,2,1,89516,1
162,Prof,B,26,19,1,176500,1
163,AssocProf,B,22,7,1,98510,1
164,AsstProf,B,3,3,1,89942,1
165,AsstProf,B,1,0,1,88795,1
166,Prof,B,21,8,1,105890,1
167,Prof,B,16,16,1,167284,1
168,Prof,B,18,19,1,130664,1
169,AssocProf,B,8,6,1,101210,1
170,Prof,B,25,18,1,181257,1
171,AsstProf,B,5,5,1,91227,1
172,Prof,B,19,19,1,151575,1
173,Prof,B,37,24,1,93164,1
174,Prof,B,20,20,1,134185,1
175,AssocProf,B,17,6,1,105000,1
176,Prof,B,28,25,1,111751,1
177,AssocProf,B,10,7,1,95436,1
178,AssocProf,B,13,9,1,100944,1
179,Prof,B,27,14,1,147349,1
180,AsstProf,B,3,3,2,92000,2
181,Prof,B,11,11,1,142467,1
182,Prof,B,18,5,1,141136,1
183,AssocProf,B,8,8,1,100000,1
184,Prof,B,26,22,1,150000,1
185,Prof,B,23,23,1,101000,1
186,Prof,B,33,30,1,134000,1
187,AssocProf,B,13,10,2,103750,2
188,Prof,B,18,10,1,107500,1
189,AssocProf,B,28,28,1,106300,1
190,Prof,B,25,19,1,153750,1
191,Prof,B,22,9,1,180000,1
192,Prof,B,43,22,1,133700,1
193,Prof,B,19,18,1,122100,1
194,AssocProf,B,19,19,1,86250,1
195,AssocProf,B,48,53,1,90000,1
196,AssocProf,B,9,7,1,113600,1
197,AsstProf,B,4,4,1,92700,1
198,AsstProf,B,4,4,1,92000,1
199,Prof,B,34,33,1,189409,1
200,Prof,B,38,22,1,114500,1
201,AsstProf,B,4,4,1,92700,1
202,Prof,B,40,40,1,119700,1
203,Prof,B,28,17,1,160400,1
204,Prof,B,17,17,1,152500,1
205,Prof,B,19,5,1,165000,1
206,Prof,B,21,2,1,96545,1
207,Prof,B,35,33,1,162200,1
208,Prof,B,18,18,1,120000,1
209,AsstProf,B,7,2,1,91300,1
210,Prof,B,20,20,1,163200,1
211,AsstProf,B,4,3,1,91000,1
212,Prof,B,39,39,1,111350,1
213,Prof,B,15,7,1,128400,1
214,Prof,B,26,19,1,126200,1
215,AssocProf,B,11,1,1,118700,1
216,Prof,B,16,11,1,145350,1
217,Prof,B,15,11,1,146000,1
218,AssocProf,B,29,22,1,105350,1
219,AssocProf,B,14,7,2,109650,2
220,Prof,B,13,11,1,119500,1
221,Prof,B,21,21,1,170000,1
222,Prof,B,23,10,1,145200,1
223,AssocProf,B,13,6,1,107150,1
224,Prof,B,34,20,1,129600,1
225,Prof,A,38,35,1,87800,1
226,Prof,A,20,20,1,122400,1
227,AsstProf,A,3,1,1,63900,1
228,AssocProf,A,9,7,1,70000,1
229,Prof,A,16,11,1,88175,1
230,Prof,A,39,38,1,133900,1
231,Prof,A,29,27,2,91000,2
232,AssocProf,A,26,24,2,73300,2
233,Prof,A,38,19,1,148750,1
234,Prof,A,36,19,2,117555,2
235,AsstProf,A,8,3,1,69700,1
236,Prof,A,28,17,1,81700,1
237,Prof,A,25,25,1,114000,1
238,AsstProf,A,7,6,2,63100,2
239,Prof,A,46,40,1,77202,1
240,Prof,A,19,6,1,96200,1
241,AsstProf,A,5,3,1,69200,1
242,Prof,A,31,30,1,122875,1
243,Prof,A,38,37,1,102600,1
244,Prof,A,23,23,1,108200,1
245,Prof,A,19,23,1,84273,1
246,Prof,A,17,11,2,90450,2
247,Prof,A,30,23,1,91100,1
248,Prof,A,21,18,1,101100,1
249,Prof,A,28,23,1,128800,1
250,Prof,A,29,7,1,204000,1
251,Prof,A,39,39,1,109000,1
252,Prof,A,20,8,1,102000,1
253,Prof,A,31,12,1,132000,1
254,AsstProf,A,4,2,2,77500,2
255,Prof,A,28,7,2,116450,2
256,AssocProf,A,12,8,1,83000,1
257,Prof,A,22,22,1,140300,1
258,AssocProf,A,30,23,1,74000,1
259,AsstProf,A,9,3,1,73800,1
260,Prof,A,32,30,1,92550,1
261,AssocProf,A,41,33,1,88600,1
262,Prof,A,45,45,1,107550,1
263,Prof,A,31,26,1,121200,1
264,Prof,A,31,31,1,126000,1
265,Prof,A,37,35,1,99000,1
266,Prof,A,36,30,1,134800,1
267,Prof,A,43,43,1,143940,1
268,Prof,A,14,10,1,104350,1
269,Prof,A,47,44,1,89650,1
270,Prof,A,13,7,1,103700,1
271,Prof,A,42,40,1,143250,1
272,Prof,A,42,18,1,194800,1
273,AsstProf,A,4,1,1,73000,1
274,AsstProf,A,8,4,1,74000,1
275,AsstProf,A,8,3,2,78500,2
276,Prof,A,12,6,1,93000,1
277,Prof,A,52,48,1,107200,1
278,Prof,A,31,27,1,163200,1
279,Prof,A,24,18,1,107100,1
280,Prof,A,46,46,1,100600,1
281,Prof,A,39,38,1,136500,1
282,Prof,A,37,27,1,103600,1
283,Prof,A,51,51,1,57800,1
284,Prof,A,45,43,1,155865,1
285,AssocProf,A,8,6,1,88650,1
286,AssocProf,A,49,49,1,81800,1
287,Prof,A,28,27,1,115800,1
288,AsstProf,A,2,0,1,85000,1
289,Prof,A,29,27,1,150500,1
290,AsstProf,A,8,5,1,74000,1
291,Prof,A,33,7,1,174500,1
292,Prof,A,32,28,1,168500,1
293,Prof,A,39,9,1,183800,1
294,AssocProf,A,11,1,1,104800,1
295,Prof,A,19,7,1,107300,1
296,Prof,A,40,36,1,97150,1
297,Prof,A,18,18,1,126300,1
298,Prof,A,17,11,1,148800,1
299,Prof,A,49,43,1,72300,1
300,AssocProf,A,45,39,1,70700,1
301,Prof,A,39,36,1,88600,1
302,Prof,A,27,16,1,127100,1
303,Prof,A,28,13,1,170500,1
304,Prof,A,14,4,1,105260,1
305,Prof,A,46,44,1,144050,1
306,Prof,A,33,31,1,111350,1
307,AsstProf,A,7,4,1,74500,1
308,Prof,A,31,28,1,122500,1
309,AsstProf,A,5,0,1,74000,1
310,Prof,A,22,15,1,166800,1
311,Prof,A,20,7,1,92050,1
312,Prof,A,14,9,1,108100,1
313,Prof,A,29,19,1,94350,1
314,Prof,A,35,35,1,100351,1
315,Prof,A,22,6,1,146800,1
316,AsstProf,B,6,3,1,84716,1
317,AssocProf,B,12,9,2,71065,2
318,Prof,B,46,45,1,67559,1
319,Prof,B,16,16,1,134550,1
320,Prof,B,16,15,1,135027,1
321,Prof,B,24,23,1,104428,1
322,AssocProf,B,9,9,1,95642,1
323,AssocProf,B,13,11,1,126431,1
324,Prof,B,24,15,2,161101,2
325,Prof,B,30,31,1,162221,1
326,AsstProf,B,8,4,1,84500,1
327,Prof,B,23,15,1,124714,1
328,Prof,B,37,37,1,151650,1
329,AssocProf,B,10,10,1,99247,1
330,Prof,B,23,23,1,134778,1
331,Prof,B,49,60,1,192253,1
332,Prof,B,20,9,1,116518,1
333,Prof,B,18,10,2,105450,2
334,Prof,B,33,19,1,145098,1
335,AssocProf,B,19,6,2,104542,2
336,Prof,B,36,38,1,151445,1
337,Prof,B,35,23,1,98053,1
338,Prof,B,13,12,1,145000,1
339,Prof,B,32,25,1,128464,1
340,Prof,B,37,15,1,137317,1
341,Prof,B,13,11,1,106231,1
342,Prof,B,17,17,2,124312,2
343,Prof,B,38,38,1,114596,1
344,Prof,B,31,31,1,162150,1
345,Prof,B,32,35,1,150376,1
346,Prof,B,15,10,1,107986,1
347,Prof,B,41,27,1,142023,1
348,Prof,B,39,33,1,128250,1
349,AsstProf,B,4,3,1,80139,1
350,Prof,B,27,28,1,144309,1
351,Prof,B,56,49,1,186960,1
352,Prof,B,38,38,1,93519,1
353,Prof,B,26,27,1,142500,1
354,Prof,B,22,20,1,138000,1
355,AsstProf,B,8,1,1,83600,1
356,Prof,B,25,21,1,145028,1
357,Prof,A,49,40,1,88709,1
358,Prof,A,39,35,1,107309,1
359,Prof,A,28,14,2,109954,2
360,AsstProf,A,11,4,1,78785,1
361,Prof,A,14,11,1,121946,1
362,Prof,A,23,15,2,109646,2
363,Prof,A,30,30,1,138771,1
364,AssocProf,A,20,17,1,81285,1
365,Prof,A,43,43,1,205500,1
366,Prof,A,43,40,1,101036,1
367,Prof,A,15,10,1,115435,1
368,AssocProf,A,10,1,1,108413,1
369,Prof,A,35,30,1,131950,1
370,Prof,A,33,31,1,134690,1
371,AssocProf,A,13,8,1,78182,1
372,Prof,A,23,20,1,110515,1
373,Prof,A,12,7,1,109707,1
374,Prof,A,30,26,1,136660,1
375,Prof,A,27,19,1,103275,1
376,Prof,A,28,26,1,103649,1
377,AsstProf,A,4,1,1,74856,1
378,AsstProf,A,6,3,1,77081,1
379,Prof,A,38,38,1,150680,1
380,AssocProf,A,11,8,1,104121,1
381,AsstProf,A,8,3,1,75996,1
382,Prof,A,27,23,1,172505,1
383,AssocProf,A,8,5,1,86895,1
384,Prof,A,44,44,1,105000,1
385,Prof,A,27,21,1,125192,1
386,Prof,A,15,9,1,114330,1
387,Prof,A,29,27,1,139219,1
388,Prof,A,29,15,1,109305,1
389,Prof,A,38,36,1,119450,1
390,Prof,A,33,18,1,186023,1
391,Prof,A,40,19,1,166605,1
392,Prof,A,30,19,1,151292,1
393,Prof,A,33,30,1,103106,1
394,Prof,A,31,19,1,150564,1
395,Prof,A,42,25,1,101738,1
396,Prof,A,25,15,1,95329,1
397,AsstProf,A,8,4,1,81035,1
